index,perplexity
15666540,0.03125
124777155,0.03125
25773596,0.03125
111058178,0.15625
58300361,0.03125
83227840,0.09375
47693326,0.0625
54931258,0.0
42685410,0.0625
139877088,0.0
40711814,0.0
117816160,0.03125
133451977,0.0
68708137,0.03125
124883998,0.03125
99981084,0.03125
49427092,0.0
26654093,0.09375
63523703,0.03125
38818630,0.03125
45956917,0.09375
80859868,0.0625
97236237,0.03125
72260527,0.0
17455455,0.0
33555632,0.0
8906319,0.0
30096063,0.03125
32534421,0.0
93824615,0.03125
77317162,0.0
140415357,1.0
109978923,0.0
130129782,0.21875
105114242,0.0625
74793537,0.0625
98660737,0.0625
129557993,0.0
4755587,0.0
135282726,0.0
76443013,0.0
69814348,0.0
50368031,0.03125
68612299,0.03125
139399503,0.0
52026253,0.15625
100579787,0.1875
85737762,0.0625
117698423,0.0
128009883,0.09375
93489659,0.09375
4356803,0.0
101371997,0.0
112086932,0.03125
70426079,0.09375
90763932,0.03125
30842928,0.03125
33539273,0.21875
43419147,0.03125
59229545,0.15625
43145564,0.125
34350527,0.0625
7947855,0.03125
56818425,0.0
12946724,0.0625
26555266,0.0
69655533,0.0
143260484,0.0
127969085,0.0625
51762097,0.25
84222138,1.0
15973755,0.15625
98801318,0.3125
57940083,0.0
23589176,0.0
20995993,0.0
25601507,0.03125
55103213,0.0
98578532,0.0625
135683029,0.0625
65207025,0.0
13300514,0.0
23439524,0.03125
124200951,0.1875
44631352,0.03125
76369451,0.0
143340458,0.0
48071948,0.125
77511386,0.0
69461696,0.0
71582862,0.09375
121599131,0.09375
34190400,0.28125
33318434,0.15625
22189811,0.0
130279940,0.4375
64986640,0.0
103389641,0.0625
143492983,0.03125
135711893,0.0
2752084,0.0
53150907,0.1875
49652786,0.0625
83302189,0.0625
118441120,0.0
127466168,0.0
20705615,0.03125
109530947,0.0625
142200353,0.0
7026329,0.03125
115537341,0.03125
48125404,0.1875
84933937,0.4375
58534008,0.125
2980843,0.0
131830896,0.0
89518527,0.03125
42387256,0.0
58529388,0.0
17539436,0.0
106528803,0.0
96104703,0.03125
99264387,0.03125
28443691,0.0625
132273889,0.15625
106563774,0.0625
76506986,0.0
8703230,0.03125
117026804,0.03125
2916705,0.0
134969191,0.03125
117102225,0.0
33013103,0.09375
87126846,0.46875
133528191,0.34375
8787640,0.125
124120286,0.03125
113503650,0.0
80810898,0.0
103883093,0.03125
121761561,0.03125
78619135,0.0
23800135,0.0625
132966823,0.09375
35401073,0.1875
35058583,0.0
144906289,0.0
118079614,0.09375
30972735,0.15625
18611574,0.0
72060561,0.0
63475131,0.03125
92731239,0.03125
50257819,0.15625
94932827,0.03125
43587100,0.03125
77327060,0.0625
141349053,0.0625
137531867,0.0
45495173,0.125
140621594,0.3125
129730674,0.03125
67181527,0.0
63006986,0.03125
60432094,0.0
77510958,0.03125
64832686,0.0625
48488387,0.0
4844514,0.65625
141199418,0.0
144583422,0.125
30053914,0.1875
83440974,0.0
108758200,0.0
132568732,0.0
34365922,0.15625
23642814,0.125
49289264,0.03125
93930776,0.09375
68621695,0.0
7139623,0.25
46068315,0.0625
45867160,0.03125
94761846,0.0
54453355,0.0625
125760315,0.09375
129191223,0.0
3014704,0.09375
143582726,0.0
82199029,0.09375
53502375,0.09375
56011048,0.0625
42132220,0.09375
90296494,0.0
16439981,0.0
54894928,0.125
132281271,0.0
132247958,0.0
126830219,0.0
13046653,0.03125
143699003,0.03125
71729551,0.0
80459803,0.03125
121725855,0.03125
33492754,0.0
58221428,0.03125
47571434,0.0
134383070,0.0
25189583,0.0625
64017612,0.0625
84156464,0.0625
21646414,0.0625
42779533,0.0
86828144,0.03125
57261014,0.125
45306587,0.03125
22111193,0.0625
134281955,0.03125
67228062,0.0
9379469,0.0625
30182451,0.28125
60899904,0.0
109493803,0.09375
89291100,0.09375
102593478,0.0625
92355568,0.03125
75215480,0.03125
75538955,0.03125
87155792,0.03125
14666158,0.09375
65409258,0.0
95038119,0.03125
107437826,0.03125
112988488,0.0625
11462989,0.0
19149391,0.09375
47430854,0.09375
101594762,0.03125
73739807,0.15625
49529171,0.0
81540266,0.0
91456664,0.03125
39219060,0.03125
100398391,0.15625
110938489,0.09375
67214176,0.15625
34969182,0.0625
13515689,0.0
144329965,0.03125
102673349,0.03125
87225145,0.375
85880151,0.0
76816014,0.375
124543987,0.0
48966440,0.03125
101834727,0.03125
141906374,0.0
38317501,0.0
78110261,0.0625
108073092,0.0
16237456,0.0
106422017,0.21875
138628488,0.03125
90150064,0.03125
97467353,0.0625
26336387,0.0625
63854186,0.03125
128037764,0.0
50904182,0.0
16986839,0.09375
1039006,0.0625
33104792,0.0625
8806801,0.0625
30147438,0.03125
69352865,0.0
76743166,0.09375
13453560,0.0
98119633,0.1875
76115813,0.03125
53090234,0.0625
26628073,0.09375
22008093,0.03125
70050474,0.0
65633554,0.0625
30883196,0.375
130689452,0.09375
67960432,0.0
133106246,0.0
26153372,0.1875
145954272,0.0
19254132,0.0
137567561,0.28125
102778716,0.03125
34307493,0.0625
9644416,0.0625
21494372,0.125
51480832,1.0
69207404,0.0
22415949,0.0
143867785,0.0
54900804,0.0625
41427892,0.0625
14889389,0.25
49239010,0.09375
79353620,0.03125
26061975,0.28125
19280508,0.0625
81698517,0.0
122000835,0.0
73966955,0.0625
136227932,0.03125
205601,0.1875
109621428,0.03125
94982049,0.0
50849332,0.0
23804953,0.09375
137947500,0.03125
7750042,0.03125
92604725,0.03125
30624611,0.03125
14164186,0.03125
56479917,0.09375
135119725,0.0625
71951762,0.0625
115951947,0.0
131177528,0.03125
92308685,0.5625
72821178,0.0625
92094486,0.0
5037279,0.0
23826221,0.0625
37356613,0.25
108221330,0.0
17805990,0.09375
112902257,0.03125
105396958,0.0
52992626,0.03125
80744534,0.0625
140833126,0.0625
32826585,0.0
38125471,0.0625
1874098,0.0
37849767,0.03125
41418632,0.0
10357435,0.09375
110679080,0.0625
41880364,0.09375
6300065,0.0
13359314,0.0
59434725,0.125
13925834,0.0
118539624,0.0
123205343,0.03125
64649271,0.0
40938174,0.0
133244431,0.15625
96527544,0.6875
102537588,0.0
78709845,0.0
63183690,0.03125
116957785,0.03125
84210346,0.09375
27832300,0.09375
55891175,0.0625
90204882,0.0625
117944808,0.09375
38787088,0.0625
29905619,0.0
141819777,0.03125
49596549,0.09375
28437811,0.03125
41732846,0.0625
37965369,0.0
55665047,0.0625
123834745,0.03125
30019115,0.03125
145529141,0.5625
141982508,0.0
111880177,0.09375
134508646,0.03125
8603332,0.03125
122621734,0.0
112559699,0.09375
33864399,0.0625
86251291,0.0
80133089,0.0
45406277,0.03125
133764172,0.09375
6533389,0.0
138254508,0.0
90616372,0.0625
131131696,0.0
83575830,0.0
34304858,0.0
65738500,0.0
92725070,0.0
63003998,0.03125
116125373,0.03125
22199781,0.0
126518455,0.0
26364921,0.03125
3892322,0.0
15866042,0.03125
89872651,0.0
119464366,0.0625
80047055,0.0625
79444423,0.0
90021694,0.03125
112330200,0.0
53355731,0.03125
28812611,0.03125
92862074,0.09375
89130186,0.03125
144049976,0.0
110570222,0.0
41690697,0.0
27774596,0.15625
82504477,0.03125
54315515,0.03125
91012182,0.03125
66736944,0.0
124438666,0.03125
27760879,0.0
134431546,0.0
136837298,0.0
18876244,0.0
